name,RevT,DLM,TCF,TCT,UF,FTs,Size,Art
royal_navy_situation_reports,2013-11-16,2013-10-01,,,,{u'': 56},895.1,56
revenue-based_taxes_and_benefits-property_transactions,2013-11-16,2013-10-01,,,monthly,{u'': 87},1674.9,87
quarterly_prescription_cost_analysis_england,2013-11-16,2013-10-01,,,quarterly,{u'': 4},243.4,4
work_programme-number_of_referrals_and_attachments_to_the_work_programme,2013-11-16,2013-10-01,,,,{u'': 4},126.2,4
young_persons_guarantee-future_jobs_fund,2013-11-16,2013-10-01,,,,{u'': 9},205.0,9
producer_prices_indices,2013-11-16,2013-10-01,,,,{u'': 149},2309.4,149
building_price_and_cost_indices,2013-11-16,2013-10-01,,,quarterly,{u'': 22},491.1,22
pre-work_programme_employment_support_measures,2013-11-16,2013-10-01,,,,{u'': 6},134.7,6
performance_tables_in_england,2013-11-16,2013-10-01,,,,{u'': 3},63.6,3
prison_population_and_accommodation_weekly_bulletin,2013-11-16,2013-10-01,,,,{u'': 134},8853.5,134
public_sector_employment,2013-11-02,2013-10-01,,,,{u'': 21},363.0,21
national_diet_and_nutrition_survey,2013-11-16,2013-10-01,,,monthly,{u'': 5},294.5,5
indicators_on_breastfeeding,2013-10-01,2013-10-01,,,quarterly,{u'': 6},324.9,6
live_births_by_socio-economic_status_of_father_england_and_wales,2013-11-02,2013-10-01,,,discontinued,{u'': 3},64.9,3
childrens_social_work_statistics,2013-11-16,2013-10-01,,,,{u'': 3},57.7,3
school_capacity_-,2013-11-16,2013-10-01,,,,{u'': 3},90.3,3
uk_defence_statistics,2013-10-26,2013-10-01,,,annual,{u'': 7},92.8,7
post-16_education-learner_participation_and_outcomes_in_england,2013-11-16,2013-10-01,,,,{u'': 16},274.1,16
tracking_op_herrick_afghanistan_vsi-si_operational_casualties,2013-11-16,2013-10-01,,,,{u'': 5},70.5,5
nhs_referral_to_treatment_waiting_times_,2013-11-16,2013-10-01,,,,{u'': 15},1025.5,15
employment_and_support_allowance_sanctions,2013-11-16,2013-10-01,,,,{u'': 8},331.5,8
re-offending_statistics_quarterly,2013-11-16,2013-10-01,,,quarterly,{u'': 4},158.7,4
decc_public_attitudes_tracking_survey,2013-11-16,2013-10-01,,,quarterly,{u'': 6},131.2,6
police_service_of_northern_ireland_annual_statistics,2013-10-26,2013-10-01,,,annual,{u'': 6},97.1,6
dental_commissioning_monitoring,2013-10-01,2013-10-01,,,,{u'': 16},338.2,16
quarterly_civilian_personnel_report,2013-11-09,2013-10-01,,,quarterly,{u'': 9},238.8,9
northern_ireland_environmental_statistics_report,2013-11-16,2013-10-01,,,,{u'': 4},160.8,4
scottish_public_health_observatory_scotpho_website_section_updates,2013-11-16,2013-10-01,,,annual,{u'': 21},1208.1,21
nhs_diagnostics_waiting_times_and_acitivities_,2013-11-16,2013-10-01,,,,{u'': 15},762.5,15
fraud_and_error_in_the_benefit_system,2013-11-16,2013-10-01,,,,{u'': 13},186.6,13
house_price_index,2013-11-16,2013-10-01,,,annual,{u'': 7},375.5,7
supplemental_qualifications,2013-11-16,2013-10-01,,,quarterly,{u'': 8},236.3,8
general_ophthalmic_services_activity_statistics,2013-11-16,2013-10-01,,,,{u'': 10},599.2,10
daily_situation_reports,2013-10-01,2013-10-01,,,,{u'': 39},1226.6,39
weekly_fuel_prices,2013-11-16,2013-10-01,,,,{u'': 93},2053.5,93
breast_screening_programme_england,2013-11-16,2013-10-01,,,,{u'': 2},122.9,2
violence_at_work,2013-11-02,2013-10-01,,,,{u'': 4},88.8,4
sea_passenger_statistics,2013-11-16,2013-10-01,,,annual,{u'': 3},103.3,3
nhs_referral_to_treatment_rtt_waiting_times_statistics_for_england,2013-11-16,2013-10-01,,,annual,{u'': 4},88.8,4
international_comparisons_of_productivity,2013-11-02,2013-10-01,,,,{u'': 8},129.9,8
ukho-licensing-activity,2013-06-19,2013-09-30,,,quarterly,{u'XLS': 1},29.2,1
worcestershire-acute-hospitals-nhs-trust-spend-over-25-000-from-april-2012-onwards,2013-11-01,2013-09-30,2012-04-01,2013-08-31,monthly,{u'CSV': 19},1488.8,19
ukho-documents-transferred-to-the-national-archives,2013-06-19,2013-09-30,,,quarterly,{u'XLS': 1},5585.4,1
ukho-requests-for-archival-data,2013-06-19,2013-09-30,,,quarterly,{u'XLS': 1},26.6,1
ukho-visitors-to-the-archive,2013-06-19,2013-09-30,,,quarterly,{u'XLS': 1},27.6,1
ukho-products-archived,2013-06-19,2013-09-30,,,quarterly,{u'XLS': 1},25.1,1
planning_applications,2013-11-16,2013-09-27,,,quarterly,{u'HTML': 2},124.9,2
aug-2013-spend-over-25k,2013-10-18,2013-09-27,,,,{u'CSV': 1},4.4,1
august-2013-spend-over-25k,2013-10-18,2013-09-27,,,,{u'CSV': 1},7.1,1
august-13-spend-over-25k,2013-09-27,2013-09-27,,,,{u'CSV': 1},18.5,1
population_estimates_of_persons_aged_85_and_over_northern_ireland,2013-10-05,2013-09-27,,,,{u'': 1},25.3,1
cabinet-office-annual-report-and-accounts-2012-13,2013-09-27,2013-09-26,2012-04-01,2013-03-31,annual,"{u'CSV': 74, u'cav': 1}",115.5,75
national-hip-fracture-database-annual-report-2012-13,2013-11-09,2013-09-26,2012-04-01,2013-03-31,,"{u'PDF': 1, u'HTML': 2, u'XLS': 2, u'CSV': 1}",6233.0,6
smart_meter_installations,2013-11-16,2013-09-26,,,quarterly,{u'': 1},19.0,1
conditional-cautioning-data-quarter-1-2013-2014,2013-11-09,2013-09-26,2013-04-01,2013-06-30,,"{u'CSV': 8, u'HTML': 1}",32.8,9
expenditure-over-25-000-august-2013,2013-09-26,2013-09-26,,,monthly,{u'PDF': 1},69.8,1
opinions_and_lifestyle_survey,2013-11-16,2013-09-26,,,,{u'': 1},18.9,1
investment_in_general_practice-england_wales_northern_ireland_and_scotland,2013-11-16,2013-09-25,,,,{u'': 4},239.2,4
defra-responses-foi-eir,2013-11-16,2013-09-25,2012-01-01,2012-09-30,quarterly,"{u'CSV': 3, u'HTML': 2}",203.3,5
financial-transactions-data-east-midlands-ambulance-service-nhs-trust-august-2013,2013-11-16,2013-09-25,2013-08-01,2013-08-31,monthly,{u'CSV': 1},27.1,1
home-office-flight-data,2013-11-16,2013-09-25,2011-01-01,2011-12-31,,"{u'HTML': 1, u'XLS': 1, u'CSV': 1}",1314.9,3
women_in_the_labour_market,2013-11-16,2013-09-25,,,,{u'': 1},15.9,1
payments-to-the-3rd-sector,2013-09-25,2013-09-25,,,,{u'CSV': 1},8623.2,1
financial_transactions_data_worcestershire_acute_hospitals_nhs_trust,2013-09-24,2013-09-24,2010-10-01,2010-10-31,monthly,{u'CSV': 1},62.7,1
local_health_profiles_,2013-11-02,2013-09-24,,,,{u'': 1},11.3,1
primary_care_workforce_survey,2013-11-16,2013-09-24,,,,{u'': 1},57.7,1
scotpho_alcohol_drugs_profiles,2013-11-16,2013-09-24,,,,{u'': 1},94.7,1
scotpho_alcohol_update,2013-11-16,2013-09-24,,,,{u'': 1},94.7,1
scotpho_drug_update,2013-11-16,2013-09-24,,,,{u'': 1},94.6,1
financial_transactions,2013-09-24,2013-09-24,2010-04-01,2010-09-30,monthly,{u'XLS': 1},314.7,1
food-standards-agency-science-and-evidence-expenditure-2012-2013,2013-09-28,2013-09-24,2012-04-01,2013-03-31,,"{u'PDF': 2, u'CSV': 2}",1765.5,4
august-2013-finance-expenditure,2013-11-16,2013-09-24,2013-08-01,2013-08-31,,{u'CSV': 1},20.2,1
bis-government-procurement-card-spend-over-500-may-2013,,2013-09-24,,,,{},0.0,0
child_and_adolescent_mental_health_services_camhs_benchmarking_balanaced_scorecard,2013-11-16,2013-09-24,,,quarterly,{u'': 1},45.1,1
food-standards-agency-expenditure-science-and-evidence,2013-06-19,2013-09-24,2010-04-01,2012-03-31,annual,{u'CSV': 2},46.9,2
provisional_population_statistics_for_new_11_districts_in_northern_ireland,2013-10-12,2013-09-24,,,,{u'': 1},32.4,1
gpc-transaction-data-registers-of-scotland,2013-10-10,2013-09-23,,,monthly,{u'XLS': 2},41.0,2
sia-licensing-statistics,2013-11-16,2013-09-23,,,,{u'XML': 1},23.7,1
sia-prosecutions,2013-11-16,2013-09-23,,,,{u'XML': 1},26.6,1
the-christie-nhs-foundation-trust,2013-09-23,2013-09-23,2013-06-01,2013-06-30,monthly,{u'CSV': 1},5.9,1
microgeneration_certification_scheme_and_roofit_statistics,2013-11-16,2013-09-20,,,monthly,{u'': 1},25.7,1
norfolk-public-rights-of-way,2013-10-12,2013-09-20,,,,"{u'wms': 1, u'XML': 1, u'KML': 1, u'kmz': 1}",51915.9,4
private-fostering-england-2009,2013-06-19,2013-09-19,,,annual,{u'XLS': 2},22.7,2
nhdt-expenditure-over-25-000-august-2013,2013-11-16,2013-09-19,2013-08-01,2013-08-31,,"{u'HTML': 1, u'CSV': 1}",79.0,2
children-in-need-england-2009,2013-06-19,2013-09-19,,,annual,{u'XLS': 1},11.4,1
provision-children-under-5-england-2009,,2013-09-19,,,annual,{},0.0,0
early-years-foundation-stage-profile-england-2009,,2013-09-19,,,annual,{},0.0,0
children_in_need,,2013-09-19,,,,{},0.0,0
northern_ireland_conviction_and_sentencing_statistics,2013-10-26,2013-09-19,,,,{u'': 1},26.8,1
northern_ireland_compliance_and_enforcement_statistics,2013-09-19,2013-09-19,,,,{u'': 1},17.5,1
staff-organograms-and-pay-gambling-commission,2013-10-26,2013-09-18,2011-01-01,2011-03-31,quarterly,"{u'PDF': 1, u'RDF': 1, u'CSV': 5}",344.2,7
accessibility_statistics,2013-11-15,2013-09-18,,,,{u'': 2},70.1,2
healthy_life_expectancy_at_birth_for_upper_tier_local_authorities-england,2013-11-02,2013-09-18,,,,{u'': 1},18.6,1
weekly_solar_pv_installation_capacity_statistics,2013-11-16,2013-09-18,,,,{u'': 7},272.2,7
patient-led_assessments_of_the_care_environment_place,2013-11-16,2013-09-18,,,annual,{u'': 1},62.1,1
uk-open-access-non-vosa-sites,2013-11-16,2013-09-18,2011-10-27,,Weekly,{u'CSV': 1},113.7,1
wolverhampton-ccg-august-expenditure-over-25k,2013-11-16,2013-09-17,,,,{u'HTML': 1},14.9,1
spend-over-25-000-in-nhs-salford-clinical-commissioning-group,2013-10-21,2013-09-17,,,,{u'CSV': 6},32.1,6
oda-transparency-report-august-2013,2013-09-17,2013-09-17,2013-08-01,2013-08-31,,{u'CSV': 1},20.4,1
patient_experience_overall_measure_,2013-11-16,2013-09-17,,,,{u'': 1},15.1,1
land-registry-inspire-download,2013-11-16,2013-09-16,1862-01-01,,,{u'HTML': 1},68.4,1
clinical-senior-lectureship-awards,2013-09-20,2013-09-16,,,annual,{u'HTML': 1},12.2,1
nhs-sheffield-ccg-expenditure-over-25k-may-2013,2013-09-14,2013-09-13,2013-05-01,2013-05-31,monthly,{u'CSV': 1},7.4,1
nhs-barnsley-ccg-expenditure-over-25k-may-2013,2013-09-13,2013-09-13,2013-05-01,2013-05-31,monthly,{u'CSV': 1},22.0,1
nhs-barnsley-ccg-expenditure-over-25k-jun-2013,2013-09-13,2013-09-13,2013-06-01,2013-06-30,monthly,{u'CSV': 1},23.6,1
nhs-sheffield-ccg-expenditure-over-25k-jun-2013,2013-09-13,2013-09-13,2013-06-01,2013-06-30,monthly,{u'CSV': 1},8.3,1
nhs-bassetlaw-ccg-expenditure-over-25k-april-2013,2013-09-13,2013-09-13,2013-04-01,2013-04-30,monthly,{u'PDF': 1},10.4,1
taunton-and-somerset-nhs-foundation-expenditure-over-25k-august-2013-trust,,2013-09-13,2013-08-01,2013-08-31,,{},0.0,0
nhs-sheffield-ccg-expenditure-over-25k-jul-2013,2013-09-13,2013-09-13,2013-07-01,2013-07-30,monthly,{u'CSV': 1},12.9,1
nhs-sheffield-ccg-expenditure-over-25k-april-2013,2013-09-13,2013-09-13,2013-04-01,2013-04-30,monthly,{u'CSV': 1},4.9,1
nhs-sheffield-ccg-expenditure-over-25k-aug-2013,2013-09-13,2013-09-13,2013-08-01,2013-08-31,monthly,{u'CSV': 1},8.1,1
nhs-bassetlaw-ccg-expenditure-over-25k-aug-2013,2013-09-13,2013-09-13,2013-08-01,2013-08-31,monthly,{u'PDF': 1},11.9,1
nhs-bassetlaw-ccg-expenditure-over-25k-jun-2013,2013-09-13,2013-09-13,2013-06-01,2013-06-30,monthly,{u'PDF': 1},11.4,1
nhs-bassetlaw-ccg-expenditure-over-25k-jul-2013,2013-09-13,2013-09-13,2013-07-01,2013-07-31,monthly,{u'PDF': 1},11.0,1
nhs-barnsley-ccg-expenditure-over-25k-aug-2013,2013-09-13,2013-09-13,2013-08-01,2013-08-31,monthly,{u'CSV': 1},25.1,1
nhs-barnsley-ccg-expenditure-over-25k-april-2013,2013-09-13,2013-09-13,2013-04-01,2013-04-30,monthly,{u'CSV': 1},22.5,1
nhs-barnsley-ccg-expenditure-over-25k-jul-2013,2013-09-13,2013-09-13,2013-07-01,2013-07-31,monthly,{u'CSV': 1},29.7,1
august-2013-spend-over-25-000-in-george-eliot-hospital-nhs-trust,2013-11-16,2013-09-13,2013-08-01,2013-08-31,quarterly,{u'CSV': 1},39.0,1
nhs-bassetlaw-ccg-expenditure-over-25k-may-2013,2013-09-13,2013-09-13,2013-05-01,2013-05-31,monthly,{u'PDF': 1},10.7,1
police_use_of_taser,2013-11-16,2013-09-12,,,,{u'': 1},28.1,1
bbsrc-fy2013-14-spend-over-25k,2013-09-11,2013-09-12,2013-04-01,2014-03-31,monthly,{u'CSV': 5},3775.1,5
terrorism-arrests,2013-11-16,2013-09-12,2001-09-01,2012-08-31,,"{u'HTML': 1, u'ods': 1}",43.4,2
spotlightonspend-transactions-download,2013-11-16,2013-09-12,2008-04-01,2013-09-31,monthly,{u'CSV': 1},145.7,1
vts-spend-over-250-for-august-2013,2013-09-11,2013-09-11,2013-08-01,2013-08-31,,{u'CSV': 2},36.5,2
north-herts-district-council-spend-data-july2013,2013-11-16,2013-09-11,2013-07-01,2013-07-31,monthly,"{u'PDF': 1, u'CSV': 1}",41.4,2
monthly_improving_access_to_psychological_therapies_data_quality_reports,2013-11-16,2013-09-11,,,monthly,{u'': 2},122.1,2
tax-transparency-sector-board,2013-11-16,2013-09-11,2012-12-17,2013-08-30,quarterly,"{u'PDF': 27, u'HTML': 1, u'CSV': 1}",4203.6,29
norfolk-county-council-live-car-park-data,2013-11-16,2013-09-11,,,,{u'XML': 2},52.7,2
nhs-ashford-ccg-expenditure-for-august-2013,2013-10-19,2013-09-11,2013-08-01,2013-08-31,,{u'XLS': 1},18.8,1
evaluation-of-national-careers-service-partnership-delivery,2013-11-16,2013-09-11,2012-09-01,2013-03-30,,"{u'HTML': 1, u'XLS': 1}",69.8,2
nhs-canterbury-and-coastal-ccg-expenditure-for-august-2013,2013-09-14,2013-09-11,2013-08-01,2013-08-31,,{u'XLS': 1},22.6,1
dcms-equality-workforce-data-2012-2013,2013-09-11,2013-09-11,2012-04-01,2013-03-31,,{u'CSV': 1},1.0,1
bbsrc-2013-14-gpc-spend,2013-10-25,2013-09-11,2013-04-01,2014-03-31,monthly,{u'CSV': 5},38.1,5
over-25000-spend-ichnt-2013-p05-august-return,2013-11-16,2013-09-11,,,,{u'CSV': 1},31.4,1
england-local-authority-capital-expenditure-and-receipts-england,2013-11-16,2013-09-11,,,annual,{u'HTML': 1},34.1,1
recorded-use-taser-england-wales,2013-11-16,2013-09-10,2007-01-01,2011-12-31,annual,"{u'CSV': 4, u'ods': 1, u'HTML': 1}",176.5,6
road-accidents-safety-data,2013-11-16,2013-09-10,1979-01-01,2012-12-31,annual,"{u'doc': 1, u'XLS': 4, u'ZIP': 35}",425182.2,40
esrc-expenditure-in-august-2013,2013-11-16,2013-09-10,2013-08-01,2013-08-31,monthly,{u'XLS': 1},20.1,1
spend-over-25k-august-13-awp-nhs-trust,2013-11-16,2013-09-09,2013-08-01,2013-08-31,,{u'CSV': 2},92.8,2
labour_market_statistics_for_households_in_wales,2013-11-16,2013-09-07,,,,{u'': 1},42.1,1
dementia_assessment_and_referral,2013-11-16,2013-09-07,,,,{u'': 2},37.2,2
ccg_prescribing_data,2013-11-16,2013-09-07,,,,{u'': 1},59.1,1
automatic-urban-and-rural-monitoring-network,,2013-09-06,1991-10-10,,,"{u'csv, kml, xls': 1}",0.0,1
emep4uk-atmospheric-chemistry-transport-model,2013-11-16,2013-09-06,2001-01-01,2012-01-01,,{u'netcdf': 1},25.3,1
frame-fine-resolution-atmospheric-multi-pollutant-exchange,2013-11-16,2013-09-06,2001-01-01,,,{u'netcdf': 1},25.3,1
diffusion-tube-data-centre,2013-09-13,2013-09-06,2005-01-01,,,"{u'csv, kml': 1}",788.4,1
animal_feed_statistics_for_great_britain,2013-11-15,2013-09-06,,,,{u'': 2},65.3,2
wrf-modelled-met-data,,2013-09-06,2010-08-01,,,{u'netcdf': 1},0.0,1
cdc-country-investment-information-2012,2013-09-06,2013-09-06,2012-01-01,2012-12-31,,{u'PDF': 1},106.1,1
uk-ammonia-and-ammonium-measurements,2013-11-16,2013-09-06,1970-01-01,,,{u'ascii': 1},25.3,1
ozone-source-receptor-model-osrm-baseline-modelled-ozone-metrics,2013-11-16,2013-09-06,2003-01-01,,,{u'CSV': 1},25.3,1
uk-acid-gases-and-aerosols,,2013-09-06,1999-09-01,,,{u'CSV': 1},0.0,1
cdc-country-investment-information,2013-09-06,2013-09-06,2012-01-01,2012-12-31,,{u'PDF': 1},106.1,1
uk-heavy-metals-monitoring-network,,2013-09-05,2004-09-01,,,"{u'http, csv, xls': 1}",0.0,1
prompt-payment-statistics-for-july-2013-from-acas,2013-09-05,2013-09-05,2013-07-01,2013-07-31,,{u'doc': 1},31.2,1
councillors-allowances,2013-11-16,2013-09-05,,,,"{u'PDF': 5, u'CSV': 2, u'aspx': 1}",130.1,8
rural-heavy-metals-monitoring-scheme-rainfall-samples,,2013-09-05,2004-01-01,,,"{u'http, csv, xls': 1}",0.0,1
cdc-fund-information-q2-2013,2013-09-05,2013-09-05,,,,{u'PDF': 1},35.2,1
airborne-particulate-concentrations-and-numbers-in-the-united-kingdom,,2013-09-05,2005-02-01,,,"{u'http, csv, xls': 1}",0.0,1
aggregated-statistics-on-ambient-air-quality,2013-11-15,2013-09-05,1960-01-01,,,"{u'http, csv, xls': 2, u'CSV': 1}",45.8,3
emissions-from-national-atmospheric-emissions-inventory-naei-large-point-sources,2013-11-16,2013-09-05,1999-01-01,,,{u'XLS': 1},12.7,1
local-air-quality-management-laqm-concentration-maps,2013-09-05,2013-09-05,2001-01-01,,,"{u'csv, xls, pdf': 1}",18.6,1
defra-national-pollution-climate-mapping-pcm-modelled-background-concentrations,,2013-09-05,2001-01-01,,,"{u'csv, shp': 2}",0.0,2
detailed-and-summary-national-emission-totals-and-activity-data-for-greenhouse-gases,2013-11-16,2013-09-05,1990-01-01,,,"{u'http, csv, xls, pdf': 1, u'http, csv, xls': 1}",49.9,2
emission-factor-and-implied-emission-factors-detailed-by-source-and-fuel,2013-11-16,2013-09-05,1990-01-01,,,"{u'http, csv, xls': 1}",41.5,1
detailed-and-summary-national-emission-totals-and-activity-data-for-air-pollutants,2013-11-16,2013-09-05,1990-01-01,,,"{u'http, csv, xls': 1}",20.7,1
automatic-hydrocarbons-network,,2013-09-05,1993-01-01,,,"{u'csv, xls': 1}",0.0,1
devolved-administration-emissions-by-end-user-category,2013-11-16,2013-09-05,1990-01-01,,,"{u'http, csv, xls': 1}",11.1,1
road-transport-emissions-and-activity-data-for-the-uk-major-road-network,2013-11-16,2013-09-05,1999-01-01,,,"{u'pdf, xls': 1}",12.9,1
devolved-administration-ad-and-emissions-by-source,2013-11-16,2013-09-05,1999-01-01,,,"{u'http, csv, xls': 1}",12.4,1
non-automatic-hydrocarbons-network,,2013-09-05,1993-01-01,,,"{u'csv, xls': 1}",0.0,1
higher-education-business-and-community-interaction-survey,2013-10-05,2013-09-05,,,annual,{u'HTML': 1},21.4,1
payments-to-suppliers-greater-than-25000,2013-11-16,2013-09-05,,,,{u'CSV': 1},21.1,1
uk-pah-monitoring-and-analysis-network,,2013-09-05,2010-10-01,,,"{u'http, csv, xls': 1}",0.0,1
black-carbon-network,,2013-09-05,2008-12-01,,,"{u'http, csv, xls': 1}",0.0,1
emission-maps-for-the-uk-and-devolved-administrations,,2013-09-05,1999-01-01,,,"{u'ascii grid, xls, shp, csv': 1}",0.0,1
payments-to-suppliers-over-500-for-july-2013-from-acas,2013-09-05,2013-09-05,2013-07-01,2013-07-31,,{u'CSV': 1},42.6,1
nhs-doncaster-ccg-expenditure-over-25k-jun-2013,2013-09-07,2013-09-04,2013-06-01,2013-06-30,monthly,{u'CSV': 1},6.2,1
doncaster-ccg-expenditure-over-25k,2013-09-04,2013-09-04,2013-04-01,2013-04-30,monthly,{u'CSV': 1},6.4,1
nhs-doncaster-ccg-expenditure-over-25k-aug-2013,2013-09-04,2013-09-04,2013-08-01,2013-08-31,monthly,{u'CSV': 1},11.2,1
count-of-datasets-on-data-gov-uk-over-time,2013-11-16,2013-09-04,2009-11-25,2013,,"{u'py': 1, u'CSV': 1}",199.2,2
local-authority-spend-over-500-leeds-city-council,2013-11-16,2013-09-04,,,monthly,"{u'CSV': 24, u'aspx': 1}",51573.9,25
senior-management-expenses-at-the-gambling-commission,2013-11-16,2013-09-04,,,quarterly,"{u'CSV': 1, u'aspx': 1}",31.3,2
disclosure-and-barring-service-structure-and-salaries,2013-11-16,2013-09-04,2013-03-31,2013-03-31,Twice yearly,"{u'RDF': 1, u'ods': 2, u'HTML': 1, u'CSV': 2}",95.7,6
defra-transparency-panel,2013-09-04,2013-09-04,2013-01-22,2013-05-17,quarterly,{u'ZIP': 2},913.0,2
uk-air-automatic-and-non-automatic-monitoring-data,,2013-09-04,1960-01-01,,continously,"{u'http, csv, pdf, xls, kml, shp, ascii grid': 1}",0.0,1
http-data-gov-uk-dataset-nottingham-city-pct-financial-transactions-over-25000,,2013-09-04,2011-08-01,2011-10-31,monthly,{u'XLS': 3},0.0,3
nhs-doncaster-ccg-expenditure-over-25k-jul-2013,2013-09-04,2013-09-04,2013-07-01,2013-07-31,monthly,{u'CSV': 1},9.7,1
nhs-doncaster-ccg-expenditure-over-25k-may-2013,2013-09-04,2013-09-04,2013-05-01,2013-05-31,monthly,{u'CSV': 1},6.4,1
nhs-south-west-lincolnshire-ccg-transactions-over-25-000,2013-10-29,2013-09-03,2013-04-01,2014-03-31,monthly,{u'CSV': 6},67.0,6
monthly_mental_health_minimum_dataset_reports,2013-11-16,2013-09-03,,,monthly,{u'': 2},124.4,2
national-collection-of-plant-pathogenic-bacteria-ncppb,2013-11-16,2013-09-03,,,ad hoc,{u'HTML': 1},6702.1,1
nhs-lincolnshire-west-ccg-transactions-over-25-000,2013-10-29,2013-09-03,2013-04-01,2014-03-31,monthly,{u'CSV': 6},83.7,6
organisational-chart,2013-09-03,2013-09-03,,,,{u'PDF': 1},65.0,1
nhs-south-west-lincs-ccg-transactions-over-25-000,2013-10-29,2013-09-03,2013-04-01,2014-03-31,monthly,{u'CSV': 6},90.0,6
senior-officer-salary-information,2013-09-28,2013-09-03,,,,{u'CSV': 1},3.8,1
payments-to-suppliers-greater-than-25000-aug-2013,2013-09-03,2013-09-03,,,,{u'CSV': 1},14.1,1
transactions-over-25-000,2013-10-29,2013-09-03,2013-04-01,2014-03-31,monthly,{u'CSV': 6},119.7,6
local-authority-pay-ratio,2013-09-02,2013-09-02,,,annual,{u'CSV': 1},0.3,1
national-neonatal-audit-programme-annual-report-2012,2013-09-02,2013-09-02,2012-01-01,2012-12-31,,"{u'PDF': 1, u'CSV': 4}",81.3,5
licensed-gambling-premises,2013-11-02,2013-09-02,,,monthly,{u'xlsx': 1},1277.9,1
dft-flight-data,2013-09-02,2013-09-02,,,annual,{u'CSV': 1},286.3,1
initial_teacher_training_allocations,2013-11-16,2013-09-01,,,,{u'': 1},25.6,1
income_and_expenditure_in_academies_in_england,2013-11-16,2013-09-01,,,,{u'': 1},29.5,1
attitudes_towards_angling_by_adults_in_northern_ireland,2013-10-25,2013-09-01,,,annual,"{u'': 1, u'HTML': 1}",41.6,2
national-scholarship-programme-monitoring-data,,2013-08-30,,,annual,{},0.0,0
salary-of-senior-employees-2012-13,2013-08-30,2013-08-30,2012-04-01,2012-03-31,,"{u'PDF': 1, u'CSV': 1}",6028.5,2
senior-staff-organogram-2012-13,2013-08-30,2013-08-30,2012-04-01,2013-03-31,,{u'PDF': 2},6100.3,2
competition-commission-organogram-and-salaries-data-31-march-2012,2013-08-30,2013-08-30,2012-03-31,,6 monthly,{u'CSV': 2},23.4,2
grant-tables-and-student-number-controls-for-higher-education-institutions,2013-08-30,2013-08-30,,,annual,{u'HTML': 2},264.5,2
ukces-employer-perspectives-survey,2013-09-07,2013-08-30,,,2 years,"{u'XML': 1, u'web': 1, u'docx': 1}",13074.5,3
competition-commission-external-spending-data-2012-13,2013-09-03,2013-08-30,2012-04-01,2013-03-31,monthly,{u'CSV': 12},416.3,12
research-assessment-exercise-1996,2013-08-30,2013-08-30,,,,{u'HTML': 2},12.0,2
competition-commission-salaries-data-31-march-2013,2013-08-30,2013-08-30,2013-03-31,,6 monthly,{u'CSV': 2},25.7,2
licensing-authority-statistics,2013-08-30,2013-08-30,2009-04-01,2012-03-31,,"{u'PDF': 1, u'XLS': 1}",2650.0,2
destinations_of_leavers_from_uk_higher_education_institutions-northern_ireland_analysis,2013-10-04,2013-08-30,,,,{u'': 3},63.8,3
ukces-employer-skills-survey,2013-09-25,2013-08-30,,,2 years,"{u'web': 1, u'ods': 7, u'XLS': 3, u'PDF': 1}",13394.7,12
competition-commission-salaries-data-30-september-2012,2013-08-30,2013-08-30,2012-09-30,,6 monthly,{u'CSV': 2},26.3,2
csc-annua-lreports,2013-11-16,2013-08-30,,,,{u'HTML': 1},40.3,1
research-assessment-exercise-2001,2013-08-31,2013-08-30,,,,{u'HTML': 2},7.8,2
csc-evaluation-reports,2013-11-16,2013-08-30,,,,{u'HTML': 1},44.2,1
july-2013-financial-transactions-data-walsall-healthcare-nhs-trust,2013-08-30,2013-08-30,2013-07-01,2013-07-31,,"{u'PDF': 1, u'CSV': 1}",88.8,2
competition-commission-organogram-31-03-2011,2013-08-30,2013-08-30,2011-09-30,,Every 6 months,{u'CSV': 2},22.8,2
financial-transactions-data-gambling-commission,2013-11-16,2013-08-30,2011-04-01,2013-03-31,monthly,"{u'webpage': 1, u'CSV': 2}",44.0,3
competition-commission-external-spending-data-2013-2014,2013-08-30,2013-08-30,2013-04-01,2014-03-31,monthly,{u'CSV': 3},108.8,3
type-approval-certificates-published-by-the-national-measurement-office,2013-11-16,2013-08-30,,,When new certificates are issued or amended,{u'xlsx': 4},690.7,4
ofcom-communications-market-report,2013-10-12,2013-08-30,2012-01-01,2013-12-31,,{u'HTML': 6},371.5,6
aimhigher-summer-schools-data,,2013-08-30,,,annual,{},0.0,0
spend-over-25k-july-2013,2013-08-30,2013-08-30,,,,{u'CSV': 1},19.2,1
directory-of-commonwealth-scholars-and-fellows,2013-10-11,2013-08-30,,,,{u'aspx': 1},40.8,1
quality-related-funding-data,2013-08-31,2013-08-30,,,,{u'HTML': 2},25.6,2
1992-research-assessment-exercise,2013-08-30,2013-08-30,,,,{u'HTML': 2},9.1,2
july-2013-spend-over-threshold-25k,2013-10-19,2013-08-29,,,,{u'CSV': 1},6.7,1
staff-related-inherited-liabilities,,2013-08-29,,,,{},0.0,0
co-funded-employer-engagement-return,,2013-08-29,,,,{},0.0,0
access-to-learning-fund-monitoring,,2013-08-29,,,annual,{},0.0,0
further-education-initial-teacher-training-monitoring-fe-itt,,2013-08-29,,,annual,{},0.0,0
participation-of-local-areas-polar-data,2013-09-21,2013-08-29,,,,{u'HTML': 1},19.7,1
